Source,Target,Weight
20,24,1.0
20,25,0.7071067811865475
20,38,0.7071067811865475
21,22,1.0
21,24,0.7071067811865475
21,25,1.0
21,26,0.7071067811865475
21,39,0.7071067811865475
22,23,1.0
22,25,0.7071067811865475
22,26,1.0
22,27,0.7071067811865475
22,40,0.7071067811865475
23,26,0.7071067811865475
23,27,1.0
23,28,0.7071067811865475
23,41,0.7071067811865475
23,130,0.7071067811865475
23,149,0.7071067811865475
23,151,1.0
24,25,1.0
24,29,0.7071067811865475
24,38,1.0
24,39,0.7071067811865475
25,26,1.0
25,29,1.0
25,30,0.7071067811865475
25,38,0.7071067811865475
25,39,1.0
25,40,0.7071067811865475
25,43,0.7071067811865475
26,27,1.0
26,29,0.7071067811865475
26,30,1.0
26,31,0.7071067811865475
26,39,0.7071067811865475
26,40,1.0
26,41,0.7071067811865475
26,44,0.7071067811865475
27,28,1.0
27,30,0.7071067811865475
27,31,1.0
27,32,0.7071067811865475
27,40,0.7071067811865475
27,41,1.0
27,42,0.7071067811865475
27,45,0.7071067811865475
27,150,0.7071067811865475
27,151,0.7071067811865475
28,31,0.7071067811865475
28,32,1.0
28,41,0.7071067811865475
28,42,1.0
28,46,0.7071067811865475
28,149,0.7071067811865475
28,150,1.0
28,151,1.0
28,168,0.7071067811865475
28,170,0.7071067811865475
28,171,1.0
28,172,0.7071067811865475
28,173,0.7071067811865475
29,30,1.0
29,33,0.7071067811865475
29,39,0.7071067811865475
29,43,1.0
29,44,0.7071067811865475
30,31,1.0
30,33,1.0
30,34,0.7071067811865475
30,40,0.7071067811865475
30,43,0.7071067811865475
30,44,1.0
30,45,0.7071067811865475
30,48,0.7071067811865475
31,32,1.0
31,33,0.7071067811865475
31,34,1.0
31,35,0.7071067811865475
31,41,0.7071067811865475
31,44,0.7071067811865475
31,45,1.0
31,46,0.7071067811865475
31,49,0.7071067811865475
31,99,0.7071067811865475
32,34,0.7071067811865475
32,35,1.0
32,36,0.7071067811865475
32,42,0.7071067811865475
32,45,0.7071067811865475
32,46,1.0
32,47,0.7071067811865475
32,50,0.7071067811865475
32,104,0.7071067811865475
32,150,0.7071067811865475
32,169,0.7071067811865475
32,171,0.7071067811865475
32,172,1.0
33,34,1.0
33,37,0.7071067811865475
33,44,0.7071067811865475
33,48,1.0
33,49,0.7071067811865475
33,99,0.7071067811865475
34,35,1.0
34,37,1.0
34,45,0.7071067811865475
34,48,0.7071067811865475
34,49,1.0
34,50,0.7071067811865475
34,52,0.7071067811865475
34,99,1.0
34,104,0.7071067811865475
34,112,0.7071067811865475
34,118,0.7071067811865475
35,36,1.0
35,37,0.7071067811865475
35,46,0.7071067811865475
35,49,0.7071067811865475
35,50,1.0
35,51,0.7071067811865475
35,53,0.7071067811865475
35,99,0.7071067811865475
35,104,1.0
35,108,0.7071067811865475
35,117,0.7071067811865475
35,118,1.0
35,123,0.7071067811865475
35,172,0.7071067811865475
36,47,0.7071067811865475
36,50,0.7071067811865475
36,51,1.0
36,54,0.7071067811865475
36,104,0.7071067811865475
36,108,1.0
36,118,0.7071067811865475
36,122,0.7071067811865475
36,123,1.0
36,127,0.7071067811865475
36,169,0.7071067811865475
36,172,1.0
36,188,0.7071067811865475
36,191,0.7071067811865475
36,192,1.0
36,195,0.7071067811865475
37,49,0.7071067811865475
37,52,1.0
37,53,0.7071067811865475
37,99,0.7071067811865475
37,112,1.0
37,117,0.7071067811865475
37,118,1.0
37,132,0.7071067811865475
38,39,1.0
38,43,0.7071067811865475
39,40,1.0
39,43,1.0
39,44,0.7071067811865475
39,57,0.7071067811865475
40,41,1.0
40,43,0.7071067811865475
40,44,1.0
40,45,0.7071067811865475
40,58,0.7071067811865475
41,42,1.0
41,44,0.7071067811865475
41,45,1.0
41,46,0.7071067811865475
41,59,0.7071067811865475
42,45,0.7071067811865475
42,46,1.0
42,47,0.7071067811865475
42,60,0.7071067811865475
42,151,0.7071067811865475
42,171,0.7071067811865475
42,173,1.0
43,44,1.0
43,48,0.7071067811865475
43,57,1.0
43,58,0.7071067811865475
44,45,1.0
44,48,1.0
44,49,0.7071067811865475
44,57,0.7071067811865475
44,58,1.0
